criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,tree_depth,leaf_count,val_accuracy,val_macro_f1
entropy,10.0,2,5,0.0,balanced,10,171,0.6832579185520362,0.6444513259111799
entropy,10.0,5,5,0.0,balanced,10,171,0.6832579185520362,0.6444513259111799
entropy,10.0,10,5,0.0,balanced,10,171,0.6832579185520362,0.6444513259111799
log_loss,10.0,2,5,0.0,balanced,10,171,0.6832579185520362,0.6444513259111799
log_loss,10.0,5,5,0.0,balanced,10,171,0.6832579185520362,0.6444513259111799
log_loss,10.0,10,5,0.0,balanced,10,171,0.6832579185520362,0.6444513259111799
gini,8.0,2,2,0.0,balanced,8,125,0.6787330316742082,0.6439168505497255
entropy,10.0,2,5,0.001,balanced,10,146,0.6832579185520362,0.643609631378593
entropy,10.0,5,5,0.001,balanced,10,146,0.6832579185520362,0.643609631378593
entropy,10.0,10,5,0.001,balanced,10,146,0.6832579185520362,0.643609631378593
log_loss,10.0,2,5,0.001,balanced,10,146,0.6832579185520362,0.643609631378593
log_loss,10.0,5,5,0.001,balanced,10,146,0.6832579185520362,0.643609631378593
log_loss,10.0,10,5,0.001,balanced,10,146,0.6832579185520362,0.643609631378593
entropy,12.0,10,1,0.003,balanced,11,61,0.6764705882352942,0.6427968065530246
entropy,12.0,10,2,0.003,balanced,11,60,0.6764705882352942,0.6427968065530246
entropy,,10,1,0.003,balanced,11,61,0.6764705882352942,0.6427968065530246
entropy,,10,2,0.003,balanced,11,60,0.6764705882352942,0.6427968065530246
log_loss,12.0,10,1,0.003,balanced,11,61,0.6764705882352942,0.6427968065530246
log_loss,12.0,10,2,0.003,balanced,11,60,0.6764705882352942,0.6427968065530246
log_loss,,10,1,0.003,balanced,11,61,0.6764705882352942,0.6427968065530246
log_loss,,10,2,0.003,balanced,11,60,0.6764705882352942,0.6427968065530246
gini,8.0,5,1,0.0,balanced,8,123,0.6764705882352942,0.6426591731465087
gini,8.0,10,1,0.0,balanced,8,109,0.6764705882352942,0.6426591731465087
gini,8.0,2,1,0.0,balanced,8,131,0.6764705882352942,0.6421635662458033
gini,8.0,2,5,0.001,balanced,8,63,0.6742081447963801,0.6415754407342623
gini,8.0,5,5,0.001,balanced,8,63,0.6742081447963801,0.6415754407342623
gini,8.0,10,5,0.001,balanced,8,63,0.6742081447963801,0.6415754407342623
gini,8.0,10,2,0.0,balanced,8,105,0.6764705882352942,0.6415280763457647
entropy,8.0,2,10,0.003,balanced,8,50,0.667420814479638,0.6409138305244722
entropy,8.0,5,10,0.003,balanced,8,50,0.667420814479638,0.6409138305244722
entropy,8.0,10,10,0.003,balanced,8,50,0.667420814479638,0.6409138305244722
log_loss,8.0,2,10,0.003,balanced,8,50,0.667420814479638,0.6409138305244722
log_loss,8.0,5,10,0.003,balanced,8,50,0.667420814479638,0.6409138305244722
log_loss,8.0,10,10,0.003,balanced,8,50,0.667420814479638,0.6409138305244722
gini,10.0,2,1,0.0,balanced,10,238,0.6832579185520362,0.640850934968582
entropy,8.0,2,10,0.001,balanced,8,76,0.6628959276018099,0.6405080074753315
