criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,tree_depth,leaf_count,val_accuracy,val_macro_f1
entropy,8.0,5,10,0.001,balanced,8,76,0.6628959276018099,0.6405080074753315
entropy,8.0,10,10,0.001,balanced,8,76,0.6628959276018099,0.6405080074753315
log_loss,8.0,2,10,0.001,balanced,8,76,0.6628959276018099,0.6405080074753315
log_loss,8.0,5,10,0.001,balanced,8,76,0.6628959276018099,0.6405080074753315
log_loss,8.0,10,10,0.001,balanced,8,76,0.6628959276018099,0.6405080074753315
entropy,12.0,2,1,0.003,balanced,11,64,0.6742081447963801,0.6404589906137894
entropy,12.0,2,2,0.003,balanced,11,63,0.6742081447963801,0.6404589906137894
entropy,12.0,5,1,0.003,balanced,11,64,0.6742081447963801,0.6404589906137894
entropy,12.0,5,2,0.003,balanced,11,63,0.6742081447963801,0.6404589906137894
entropy,,2,1,0.003,balanced,11,64,0.6742081447963801,0.6404589906137894
entropy,,2,2,0.003,balanced,11,63,0.6742081447963801,0.6404589906137894
entropy,,5,1,0.003,balanced,11,64,0.6742081447963801,0.6404589906137894
entropy,,5,2,0.003,balanced,11,63,0.6742081447963801,0.6404589906137894
log_loss,12.0,2,1,0.003,balanced,11,64,0.6742081447963801,0.6404589906137894
log_loss,12.0,2,2,0.003,balanced,11,63,0.6742081447963801,0.6404589906137894
log_loss,12.0,5,1,0.003,balanced,11,64,0.6742081447963801,0.6404589906137894
log_loss,12.0,5,2,0.003,balanced,11,63,0.6742081447963801,0.6404589906137894
log_loss,,2,1,0.003,balanced,11,64,0.6742081447963801,0.6404589906137894
log_loss,,2,2,0.003,balanced,11,63,0.6742081447963801,0.6404589906137894
log_loss,,5,1,0.003,balanced,11,64,0.6742081447963801,0.6404589906137894
log_loss,,5,2,0.003,balanced,11,63,0.6742081447963801,0.6404589906137894
entropy,10.0,2,10,0.001,balanced,10,115,0.6764705882352942,0.6402967492616166
entropy,10.0,5,10,0.001,balanced,10,115,0.6764705882352942,0.6402967492616166
entropy,10.0,10,10,0.001,balanced,10,115,0.6764705882352942,0.6402967492616166
log_loss,10.0,2,10,0.001,balanced,10,115,0.6764705882352942,0.6402967492616166
log_loss,10.0,5,10,0.001,balanced,10,115,0.6764705882352942,0.6402967492616166
log_loss,10.0,10,10,0.001,balanced,10,115,0.6764705882352942,0.6402967492616166
entropy,10.0,10,2,0.001,balanced,10,149,0.6742081447963801,0.6397540521096362
