n_estimators,max_depth,min_samples_leaf,max_features,class_weight,bootstrap,oob_score,oob_accuracy,oob_macro_f1,oob_score_value
500,,1,log2,balanced,True,True,0.7797157622739018,0.7002371582464545,0.7797157622739018
500,20.0,1,0.5,balanced,True,True,0.7713178294573644,0.6997915284810325,0.7713178294573644
300,20.0,1,log2,balanced,True,True,0.7793927648578811,0.6996444048337543,0.7793927648578811
500,,1,sqrt,balanced,True,True,0.7787467700258398,0.6988027444438697,0.7787467700258398
300,,1,sqrt,balanced,True,True,0.7771317829457365,0.6979189406902281,0.7771317829457365
300,20.0,1,sqrt,balanced,True,True,0.7732558139534884,0.6974219091266914,0.7732558139534884
300,,1,log2,balanced,True,True,0.7797157622739018,0.6963871091019009,0.7797157622739018
100,20.0,1,log2,balanced,True,True,0.775516795865633,0.6963813910670039,0.775516795865633
300,20.0,1,0.5,balanced,True,True,0.7677648578811369,0.6935705868159383,0.7677648578811369
100,,1,sqrt,balanced,True,True,0.7722868217054264,0.692195269843368,0.7722868217054264
100,,1,log2,balanced,True,True,0.7742248062015504,0.6914261077090673,0.7742248062015504
300,,1,0.5,balanced,True,True,0.7684108527131783,0.6906629511711101,0.7684108527131783
500,,1,0.5,balanced,True,True,0.7667958656330749,0.6899034446814317,0.7667958656330749
100,20.0,1,sqrt,balanced,True,True,0.7661498708010336,0.6895997401916526,0.7661498708010336
100,20.0,1,0.5,balanced,True,True,0.7635658914728682,0.6860518322896776,0.7635658914728682
100,,1,0.5,balanced,True,True,0.7613049095607235,0.6811875050497124,0.7613049095607235
