criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,tree_depth,leaf_count,val_accuracy,val_f1,val_roc_auc
log_loss,4.0,5,2,0.0,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
log_loss,4.0,5,2,0.001,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
log_loss,4.0,5,5,0.0,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
log_loss,4.0,5,5,0.001,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
log_loss,4.0,10,1,0.0,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
log_loss,4.0,10,1,0.001,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
log_loss,4.0,10,2,0.0,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
log_loss,4.0,10,2,0.001,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
log_loss,4.0,10,5,0.0,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
log_loss,4.0,10,5,0.001,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
entropy,4.0,2,1,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8740610328638497
entropy,4.0,2,2,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8740610328638497
entropy,4.0,2,5,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8740610328638497
entropy,4.0,5,1,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8740610328638497
entropy,4.0,5,2,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8740610328638497
entropy,4.0,5,5,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8740610328638497
entropy,4.0,10,1,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8740610328638497
entropy,4.0,10,2,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8740610328638497
entropy,4.0,10,5,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8740610328638497
log_loss,4.0,2,1,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8740610328638497
log_loss,4.0,2,2,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8740610328638497
log_loss,4.0,2,5,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8740610328638497
log_loss,4.0,5,1,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8740610328638497
log_loss,4.0,5,2,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8740610328638497
log_loss,4.0,5,5,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8740610328638497
log_loss,4.0,10,1,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8740610328638497
log_loss,4.0,10,2,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8740610328638497
log_loss,4.0,10,5,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8740610328638497
entropy,4.0,2,10,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8738967136150234
entropy,4.0,5,10,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8738967136150234
entropy,4.0,10,10,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8738967136150234
log_loss,4.0,2,10,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8738967136150234
log_loss,4.0,5,10,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8738967136150234
log_loss,4.0,10,10,0.003,balanced,4,12,0.830316742081448,0.7386759581881533,0.8738967136150234
entropy,8.0,2,10,0.001,balanced,8,64,0.8167420814479638,0.7378640776699029,0.881431924882629
entropy,8.0,5,10,0.001,balanced,8,64,0.8167420814479638,0.7378640776699029,0.881431924882629
entropy,8.0,10,10,0.001,balanced,8,64,0.8167420814479638,0.7378640776699029,0.881431924882629
log_loss,8.0,2,10,0.001,balanced,8,64,0.8167420814479638,0.7378640776699029,0.881431924882629
log_loss,8.0,5,10,0.001,balanced,8,64,0.8167420814479638,0.7378640776699029,0.881431924882629
log_loss,8.0,10,10,0.001,balanced,8,64,0.8167420814479638,0.7378640776699029,0.881431924882629
entropy,8.0,2,10,0.0,balanced,8,74,0.8167420814479638,0.7378640776699029,0.8778521126760563
entropy,8.0,5,10,0.0,balanced,8,74,0.8167420814479638,0.7378640776699029,0.8778521126760563
entropy,8.0,10,10,0.0,balanced,8,74,0.8167420814479638,0.7378640776699029,0.8778521126760563
log_loss,8.0,2,10,0.0,balanced,8,74,0.8167420814479638,0.7378640776699029,0.8778521126760563
log_loss,8.0,5,10,0.0,balanced,8,74,0.8167420814479638,0.7378640776699029,0.8778521126760563
log_loss,8.0,10,10,0.0,balanced,8,74,0.8167420814479638,0.7378640776699029,0.8778521126760563
entropy,8.0,2,1,0.003,balanced,8,29,0.8280542986425339,0.7361111111111112,0.8688497652582159
entropy,8.0,2,2,0.003,balanced,8,29,0.8280542986425339,0.7361111111111112,0.8688497652582159
entropy,8.0,5,1,0.003,balanced,8,29,0.8280542986425339,0.7361111111111112,0.8688497652582159
entropy,8.0,5,2,0.003,balanced,8,29,0.8280542986425339,0.7361111111111112,0.8688497652582159
entropy,8.0,10,1,0.003,balanced,8,29,0.8280542986425339,0.7361111111111112,0.8688497652582159
entropy,8.0,10,2,0.003,balanced,8,29,0.8280542986425339,0.7361111111111112,0.8688497652582159
entropy,10.0,2,1,0.003,balanced,8,29,0.8280542986425339,0.7361111111111112,0.8688497652582159
entropy,10.0,2,2,0.003,balanced,8,29,0.8280542986425339,0.7361111111111112,0.8688497652582159
entropy,10.0,5,1,0.003,balanced,8,29,0.8280542986425339,0.7361111111111112,0.8688497652582159
entropy,10.0,5,2,0.003,balanced,8,29,0.8280542986425339,0.7361111111111112,0.8688497652582159
entropy,10.0,10,1,0.003,balanced,8,29,0.8280542986425339,0.7361111111111112,0.8688497652582159
